source	target	contrast	inferred_activity	is_DE_target	mean_target_logFC	fisher_fdr	mirna_family	spaceflight_relevance
miR172	AT2G28550	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-0.8960521144697328	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G67030	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-0.8960521144697328	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT4G36920	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-0.8960521144697328	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G11560	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-0.8960521144697328	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR393	AT3G62980	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-1.5091740699070888	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT5G44750	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-1.5091740699070888	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT5G64360	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-1.5091740699070888	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT2G39360	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-1.5091740699070888	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR157	AT2G42200	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.656713600341297	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT5G43270	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.656713600341297	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT1G20980	HW_CARA_vs_BRIC	UP (targets suppressed)	True	-3.656713600341297	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT2G33810	HW_CARA_vs_BRIC	UP (targets suppressed)	False	-3.656713600341297	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR171	AT2G45160	HW_VEGGIE_vs_BRIC	UNCHANGED	False	0.164283549841364	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT3G60150	HW_VEGGIE_vs_BRIC	UNCHANGED	True	0.164283549841364	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT4G00150	HW_VEGGIE_vs_BRIC	UNCHANGED	True	0.164283549841364	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT1G69170	HW_VEGGIE_vs_BRIC	UNCHANGED	False	0.164283549841364	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR172	AT2G28550	HW_VEGGIE_vs_BRIC	DOWN (targets de-repressed)	True	1.1656370403704142	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G67030	HW_VEGGIE_vs_BRIC	DOWN (targets de-repressed)	True	1.1656370403704142	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT4G36920	HW_VEGGIE_vs_BRIC	DOWN (targets de-repressed)	False	1.1656370403704142	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G11560	HW_VEGGIE_vs_BRIC	DOWN (targets de-repressed)	False	1.1656370403704142	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR156	AT2G42200	Light_lightdark	DOWN (targets de-repressed)	True	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G43270	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G20980	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT2G33810	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT3G15270	Light_lightdark	DOWN (targets de-repressed)	True	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G53160	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G50570	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G28550	Light_lightdark	DOWN (targets de-repressed)	False	0.42515487507195926	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR172	AT2G28550	Light_lightdark	UP (targets suppressed)	True	-0.6972359900708309	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G67030	Light_lightdark	UP (targets suppressed)	True	-0.6972359900708309	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT4G36920	Light_lightdark	UP (targets suppressed)	False	-0.6972359900708309	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G11560	Light_lightdark	UP (targets suppressed)	False	-0.6972359900708309	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR408	AT2G44790	Light_lightdark	UP (targets suppressed)	True	-1.33972884630666	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR408	AT5G20230	Light_lightdark	UP (targets suppressed)	True	-1.33972884630666	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR408	AT2G44790	Light_lightred_light	UP (targets suppressed)	True	-2.710998582963975	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR408	AT5G20230	Light_lightred_light	UP (targets suppressed)	True	-2.710998582963975	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR156	AT2G42200	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G43270	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G20980	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT2G33810	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT3G15270	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G53160	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G50570	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G28550	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.0017296747964844206	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR157	AT2G42200	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.12847689685523364	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT5G43270	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.12847689685523364	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT1G20980	Ecotype_ecotype_simpleWS	UNCHANGED	False	0.12847689685523364	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT2G33810	Ecotype_ecotype_simpleWS	UNCHANGED	True	0.12847689685523364	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR171	AT2G45160	Ecotype_ecotype_simpleother	UP (targets suppressed)	False	-0.7393136623347002	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT3G60150	Ecotype_ecotype_simpleother	UP (targets suppressed)	True	-0.7393136623347002	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT4G00150	Ecotype_ecotype_simpleother	UP (targets suppressed)	True	-0.7393136623347002	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT1G69170	Ecotype_ecotype_simpleother	UP (targets suppressed)	False	-0.7393136623347002	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR396	AT2G36400	Ecotype_ecotype_simpleother	UNCHANGED	False	-0.020251850875931794	1.0	GRF1-7 (GROWTH REGULATING FACTOR)	GRFs regulate organ growth; spaceflight alters growth patterns
miR396	AT4G24150	Ecotype_ecotype_simpleother	UNCHANGED	True	-0.020251850875931794	1.0	GRF1-7 (GROWTH REGULATING FACTOR)	GRFs regulate organ growth; spaceflight alters growth patterns
miR396	AT5G53460	Ecotype_ecotype_simpleother	UNCHANGED	False	-0.020251850875931794	1.0	GRF1-7 (GROWTH REGULATING FACTOR)	GRFs regulate organ growth; spaceflight alters growth patterns
miR396	AT3G46980	Ecotype_ecotype_simpleother	UNCHANGED	True	-0.020251850875931794	1.0	GRF1-7 (GROWTH REGULATING FACTOR)	GRFs regulate organ growth; spaceflight alters growth patterns
miR396	AT5G07680	Ecotype_ecotype_simpleother	UNCHANGED	False	-0.020251850875931794	1.0	GRF1-7 (GROWTH REGULATING FACTOR)	GRFs regulate organ growth; spaceflight alters growth patterns
miR408	AT2G44790	Ecotype_ecotype_simpleother	UP (targets suppressed)	True	-1.913668181093775	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR408	AT5G20230	Ecotype_ecotype_simpleother	UP (targets suppressed)	True	-1.913668181093775	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR397	AT2G40370	Flight_VEGGIE_FLT_vs_GC	UP (targets suppressed)	True	-0.9840569671420721	1.0	LAC2/LAC4/LAC17 (laccases)	Cell wall remodeling occurs in microgravity; lignin deposition is altered
miR397	AT2G46570	Flight_VEGGIE_FLT_vs_GC	UP (targets suppressed)	True	-0.9840569671420721	1.0	LAC2/LAC4/LAC17 (laccases)	Cell wall remodeling occurs in microgravity; lignin deposition is altered
miR397	AT5G05990	Flight_VEGGIE_FLT_vs_GC	UP (targets suppressed)	False	-0.9840569671420721	1.0	LAC2/LAC4/LAC17 (laccases)	Cell wall remodeling occurs in microgravity; lignin deposition is altered
miR408	AT2G44790	Flight_VEGGIE_FLT_vs_GC	UNCHANGED	True	0.14335661228229502	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR408	AT5G20230	Flight_VEGGIE_FLT_vs_GC	UNCHANGED	True	0.14335661228229502	1.0	Plantacyanin, laccase	Cell wall remodeling in microgravity
miR171	AT2G45160	FLT_BRIC_vs_VEGGIE	UNCHANGED	False	0.2599764379850218	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT3G60150	FLT_BRIC_vs_VEGGIE	UNCHANGED	True	0.2599764379850218	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT4G00150	FLT_BRIC_vs_VEGGIE	UNCHANGED	True	0.2599764379850218	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR171	AT1G69170	FLT_BRIC_vs_VEGGIE	UNCHANGED	False	0.2599764379850218	1.0	SCL6/SCL22/SCL27 (GRAS domain)	Meristem function is altered in microgravity
miR172	AT2G28550	FLT_BRIC_vs_VEGGIE	DOWN (targets de-repressed)	True	1.2530525883186532	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G67030	FLT_BRIC_vs_VEGGIE	DOWN (targets de-repressed)	True	1.2530525883186532	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT4G36920	FLT_BRIC_vs_VEGGIE	DOWN (targets de-repressed)	False	1.2530525883186532	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G11560	FLT_BRIC_vs_VEGGIE	DOWN (targets de-repressed)	False	1.2530525883186532	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR156	AT2G42200	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G43270	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G20980	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT2G33810	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT3G15270	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G53160	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT5G50570	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR156	AT1G28550	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.986581568596578	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing
miR159	AT1G66370	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.314295675596272	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT2G42200	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.314295675596272	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT5G06100	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.314295675596272	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR159	AT3G11400	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.314295675596272	1.0	MYB33/MYB65/GAMYB	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA
miR164	AT1G56010	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-4.285750816918287	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G61430	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-4.285750816918287	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G07680	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-4.285750816918287	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT3G15170	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-4.285750816918287	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR167	AT1G30330	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.8455004732877067	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR167	AT2G33810	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.8455004732877067	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR167	AT5G37020	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.8455004732877067	1.0	ARF6/ARF8	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture
miR172	AT2G28550	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-0.831791058269595	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G67030	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-0.831791058269595	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT4G36920	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-0.831791058269595	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR172	AT5G11560	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-0.831791058269595	1.0	AP2/TOE1/TOE2/SMZ	Flowering time is altered in spaceflight
miR319	AT1G53230	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.7407952921456253	1.0	TCP2/TCP3/TCP4/TCP10	TCPs regulate leaf morphology; spaceflight affects leaf development
miR319	AT2G31070	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.7407952921456253	1.0	TCP2/TCP3/TCP4/TCP10	TCPs regulate leaf morphology; spaceflight affects leaf development
miR319	AT3G15030	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.7407952921456253	1.0	TCP2/TCP3/TCP4/TCP10	TCPs regulate leaf morphology; spaceflight affects leaf development
miR319	AT5G08310	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.7407952921456253	1.0	TCP2/TCP3/TCP4/TCP10	TCPs regulate leaf morphology; spaceflight affects leaf development
miR393	AT3G62980	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-1.432343448340165	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT5G44750	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-1.432343448340165	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT5G64360	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-1.432343448340165	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR393	AT2G39360	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-1.432343448340165	1.0	TIR1/AFB2/AFB3 (auxin receptors)	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity
miR157	AT2G42200	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.9704234337389748	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT5G43270	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.9704234337389748	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT1G20980	FLT_BRIC_vs_CARA	UP (targets suppressed)	True	-3.9704234337389748	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR157	AT2G33810	FLT_BRIC_vs_CARA	UP (targets suppressed)	False	-3.9704234337389748	1.0	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Same as miR156
miR164	AT1G56010	FLT_CARA_vs_VEGGIE	DOWN (targets de-repressed)	False	3.4039416507062357	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G61430	FLT_CARA_vs_VEGGIE	DOWN (targets de-repressed)	True	3.4039416507062357	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
miR164	AT5G07680	FLT_CARA_vs_VEGGIE	DOWN (targets de-repressed)	False	3.4039416507062357	1.0	NAC1/CUC1/CUC2	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots
