mirna	contrast	model	n_targets_total	n_targets_tested	n_targets_DE	n_targets_up	n_targets_down	fisher_odds_ratio	fisher_p_value	mean_target_logFC	median_target_logFC	inferred_activity	mirna_family	mirna_function	spaceflight_relevance	target_genes	de_target_genes	fisher_fdr
miR319	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.47744644042236284	0.6137795046428245	DOWN (targets de-repressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	-0.09074688268511819	-0.06521525265260175	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Flight_FLT_vs_GC	factorial	5	5	0	0	0	0.0	1.0	-0.19333260194876908	-0.0911922868251373	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Flight_FLT_vs_GC	factorial	3	3	0	0	0	0.0	1.0	0.11132896232597368	0.294168053040948	UNCHANGED	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	Flight_FLT_vs_GC	factorial	3	3	0	0	0	0.0	1.0	-0.11675853865037389	-0.0398103939516376	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Flight_FLT_vs_GC	factorial	2	2	1	0	1	33.43978349120433	0.05730224593141411	-0.9026960980813445	-0.9026960980813445	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230	1.0
miR157	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.39124239075996103	0.48472104976979447	DOWN (targets de-repressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	Flight_FLT_vs_GC	factorial	2	2	0	0	0	0.0	1.0	-0.01794745889531605	-0.01794745889531605	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Flight_FLT_vs_GC	factorial	4	4	0	0	0	0.0	1.0	0.015050364982921505	-0.0459454664668815	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	HW_CARA_vs_BRIC	factorial	8	8	3	0	3	0.9175944333996023	0.6748563279754192	-3.831174677447876	-4.501082804443024	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT1G20980;AT1G53160;AT2G42200	1.0
miR159	HW_CARA_vs_BRIC	factorial	4	4	3	0	3	4.589165009940358	0.1738736302311096	-3.26922101783373	-3.6472236856951046	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370;AT5G06100;AT2G42200	1.0
miR160	HW_CARA_vs_BRIC	factorial	3	3	2	0	2	3.059139250571514	0.3453200933449002	-1.6426553118952034	-1.67712215554853	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850	AT2G28350;AT1G77850	1.0
miR164	HW_CARA_vs_BRIC	factorial	4	4	3	0	3	4.589165009940358	0.1738736302311096	-4.655692932024538	-5.615122717134055	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170	AT1G56010;AT5G61430;AT3G15170	1.0
miR165	HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-2.1033024466390526	-1.33000309553944	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-2.1033024466390526	-1.33000309553944	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	HW_CARA_vs_BRIC	factorial	3	3	2	0	2	3.059139250571514	0.3453200933449002	-3.5092985184740564	-3.24982100677134	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020	AT1G30330;AT5G37020	1.0
miR169	HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-1.8927838111962665	-1.7985324186582599	UP (targets suppressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	HW_CARA_vs_BRIC	factorial	4	4	2	1	1	1.5294702315873174	0.5167665564586909	0.563465558030305	-0.24409776829480523	DOWN (targets de-repressed)	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150;AT4G00150	1.0
miR172	HW_CARA_vs_BRIC	factorial	4	4	2	1	1	1.5294702315873174	0.5167665564586909	-0.8960521144697328	-0.4923753004936755	UP (targets suppressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	HW_CARA_vs_BRIC	factorial	4	4	1	0	1	0.5097396143907772	0.8663614911164809	-2.8382704406590826	-1.3422717665652995	UP (targets suppressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310	AT1G53230	1.0
miR393	HW_CARA_vs_BRIC	factorial	4	4	3	0	3	4.589165009940358	0.1738736302311096	-1.5091740699070888	-1.818150122558345	UP (targets suppressed)	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360	AT3G62980;AT2G39360;AT5G44750	1.0
miR396	HW_CARA_vs_BRIC	factorial	5	5	0	0	0	0.0	1.0	-0.7369539046595148	-0.513783897977853	UP (targets suppressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.7662817758249331	1.22733620025072	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	0.35197113634042804	0.0966099424145421	DOWN (targets de-repressed)	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	HW_CARA_vs_BRIC	factorial	2	2	1	0	1	1.5294176108129596	0.6344152027496558	-1.92152833983921	-1.92152833983921	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230	1.0
miR157	HW_CARA_vs_BRIC	factorial	4	4	2	0	2	1.5294702315873174	0.5167665564586909	-3.656713600341297	-3.6195518504858297	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810	AT1G20980;AT2G42200	1.0
miR158	HW_CARA_vs_BRIC	factorial	2	2	0	0	0	0.0	1.0	-0.013366285032841	-0.013366285032841	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.337676876362557	0.565137385585449	UP (targets suppressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	HW_VEGGIE_vs_BRIC	factorial	8	8	1	0	1	0.4468573282655048	0.8912991298737999	-1.1909712881681451	-1.14342868589598	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550	AT1G28550	1.0
miR159	HW_VEGGIE_vs_BRIC	factorial	4	4	1	0	1	1.0428834090417478	0.6702687159881127	-2.0617656799364448	-0.6171145982751489	UP (targets suppressed)	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400	AT1G66370	1.0
miR160	HW_VEGGIE_vs_BRIC	factorial	3	3	1	0	1	1.5644062297209604	0.5648607115321473	-0.7258079981128533	-0.605444744430911	UP (targets suppressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850	AT1G77850	1.0
miR164	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-1.033546380670624	-0.880663042388423	UP (targets suppressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
miR165	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.5486218725042273	-0.08676043256056301	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.5486218725042273	-0.08676043256056301	UP (targets suppressed)	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	HW_VEGGIE_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.8255313718675187	-0.864217791341081	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.31879160673596224	-0.31565684774236347	UP (targets suppressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910		1.0
miR171	HW_VEGGIE_vs_BRIC	factorial	4	4	2	1	1	3.129320136297258	0.24863669816425232	0.164283549841364	0.228465683503073	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170	AT3G60150;AT4G00150	1.0
miR172	HW_VEGGIE_vs_BRIC	factorial	4	4	2	2	0	3.129320136297258	0.24863669816425232	1.1656370403704142	1.100406449364237	DOWN (targets de-repressed)	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560	AT2G28550;AT5G67030	1.0
miR319	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.4318482670547156	0.3829700219212555	DOWN (targets de-repressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.045601356941198504	-0.0781301733283665	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	HW_VEGGIE_vs_BRIC	factorial	5	5	0	0	0	0.0	1.0	-0.5610898865829201	0.127024707213416	UP (targets suppressed)	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	HW_VEGGIE_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.7824363967545477	0.104039153489362	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	HW_VEGGIE_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	0.10061734202238733	0.315797270978164	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	HW_VEGGIE_vs_BRIC	factorial	2	2	1	0	1	3.1289746917585983	0.42576324635511176	-1.290745910017713	-1.290745910017713	UP (targets suppressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT2G44790	1.0
miR157	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.3561880739297527	-0.6948407105418605	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	HW_VEGGIE_vs_BRIC	factorial	2	2	0	0	0	0.0	1.0	-0.316353504950149	-0.316353504950149	UP (targets suppressed)	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.7544464585951246	0.789607025070117	DOWN (targets de-repressed)	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	Flight_x_HW_CARA_vs_BRIC	factorial	8	8	0	0	0	0.0	1.0	-0.15540689114870354	-0.12235475277356675	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.045074657762539695	-0.0453835898579399	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	Flight_x_HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	0.4021258333538733	0.36181465949523	DOWN (targets de-repressed)	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	1	1	0	4.188521677327648	0.2639345551074295	0.3699421151062485	0.26254678026502953	DOWN (targets de-repressed)	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170	AT1G56010	1.0
miR165	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.00735508062204504	-0.1681141617325351	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development, meristem	Vascular patterning may be affected by altered auxin flow in microgravity	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR166	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.00735508062204504	-0.1681141617325351	UNCHANGED	PHB/PHV/REV/CNA (HD-ZIP III)	Leaf polarity, vascular development	Same as miR165	AT1G52150;AT1G30490;AT5G60690;AT5G65600		1.0
miR167	Flight_x_HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.33620195481364595	-0.391291425355007	UP (targets suppressed)	ARF6/ARF8	Auxin signaling, root development, flower development	ARF6/8 regulate lateral root initiation; auxin redistribution in microgravity affects root architecture	AT1G30330;AT2G33810;AT5G37020		1.0
miR169	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	1	1	0	4.188521677327648	0.2639345551074295	0.34036316560676866	0.2490477333809048	DOWN (targets de-repressed)	NF-YA (nuclear factor Y, subunit A)	Drought stress, ABA signaling, flowering	NF-YA regulates drought stress; spaceflight induces stress-like transcriptional responses	AT1G54160;AT5G12840;AT3G05690;AT3G20910	AT3G05690	1.0
miR171	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.09692091796628353	0.18466892486765604	UNCHANGED	SCL6/SCL22/SCL27 (GRAS domain)	Meristem maintenance, leaf development	Meristem function is altered in microgravity	AT2G45160;AT3G60150;AT4G00150;AT1G69170		1.0
miR172	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.06426105620013672	0.06844055364845095	UNCHANGED	AP2/TOE1/TOE2/SMZ	Flowering time, floral identity	Flowering time is altered in spaceflight	AT2G28550;AT5G67030;AT4G36920;AT5G11560		1.0
miR319	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.9025248514865423	-0.870525718821811	UP (targets suppressed)	TCP2/TCP3/TCP4/TCP10	Leaf development, jasmonate biosynthesis	TCPs regulate leaf morphology; spaceflight affects leaf development	AT1G53230;AT2G31070;AT3G15030;AT5G08310		1.0
miR393	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.07683062156692315	0.012464526163345199	UNCHANGED	TIR1/AFB2/AFB3 (auxin receptors)	Auxin perception, stress response	TIR1 is the auxin receptor; miR393-mediated downregulation would alter auxin sensitivity in microgravity	AT3G62980;AT5G44750;AT5G64360;AT2G39360		1.0
miR396	Flight_x_HW_CARA_vs_BRIC	factorial	5	5	0	0	0	0.0	1.0	-0.06357438807299468	0.0789780251893236	UNCHANGED	GRF1-7 (GROWTH REGULATING FACTOR)	Leaf growth, root development	GRFs regulate organ growth; spaceflight alters growth patterns	AT2G36400;AT4G24150;AT5G53460;AT3G46980;AT5G07680		1.0
miR397	Flight_x_HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.34407291219337705	-0.5138304134322	UP (targets suppressed)	LAC2/LAC4/LAC17 (laccases)	Lignin biosynthesis, secondary cell wall	Cell wall remodeling occurs in microgravity; lignin deposition is altered	AT2G40370;AT2G46570;AT5G05990		1.0
miR398	Flight_x_HW_CARA_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	-0.003515837734400673	-0.146088154379797	UNCHANGED	CSD1/CSD2/CCS (Cu/Zn superoxide dismutases)	Oxidative stress response	Oxidative stress is a major spaceflight stress; miR398 downregulation would increase CSD levels	AT1G08830;AT2G28190;AT5G18100		1.0
miR408	Flight_x_HW_CARA_vs_BRIC	factorial	2	2	1	1	0	12.566631130063966	0.1420520671483327	2.011135104802907	2.011135104802907	DOWN (targets de-repressed)	Plantacyanin, laccase	Copper homeostasis, cell wall	Cell wall remodeling in microgravity	AT2G44790;AT5G20230	AT5G20230	1.0
miR157	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	-0.3137098333976778	-0.321675494841219	UP (targets suppressed)	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing	Same as miR156	AT2G42200;AT5G43270;AT1G20980;AT2G33810		1.0
miR158	Flight_x_HW_CARA_vs_BRIC	factorial	2	2	0	0	0	0.0	1.0	-0.2739448520509745	-0.2739448520509745	UNCHANGED	PPR (pentatricopeptide repeat)	RNA processing in organelles	Organelle function may be affected in microgravity	AT1G06580;AT1G62670		1.0
miR395	Flight_x_HW_CARA_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.22222771900111496	0.114353358503692	UNCHANGED	APS1/APS3/APS4/SULTR2;1	Sulfate assimilation and transport	Nutrient metabolism may be altered in spaceflight	AT3G22890;AT5G67500;AT1G80840;AT3G22890		1.0
miR156	Flight_x_HW_VEGGIE_vs_BRIC	factorial	8	8	0	0	0	0.0	1.0	-0.2563345712240183	-0.237327241200752	UNCHANGED	SPL (SQUAMOSA PROMOTER BINDING PROTEIN-LIKE)	Developmental timing, vegetative phase change	SPLs regulate juvenile-to-adult transition; spaceflight may alter developmental timing	AT2G42200;AT5G43270;AT1G20980;AT2G33810;AT3G15270;AT1G53160;AT5G50570;AT1G28550		1.0
miR159	Flight_x_HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.13532282861519698	0.39013247404657647	UNCHANGED	MYB33/MYB65/GAMYB	ABA signaling, germination, stress response	ABA signaling is altered in microgravity; miR159 is a key ABA-responsive miRNA	AT1G66370;AT2G42200;AT5G06100;AT3G11400		1.0
miR160	Flight_x_HW_VEGGIE_vs_BRIC	factorial	3	3	0	0	0	0.0	1.0	0.08552184421977083	0.0715526268984972	UNCHANGED	ARF10/ARF16/ARF17	Auxin signaling, root cap formation, leaf development	Auxin redistribution is central to gravitropic response; ARF10/16/17 regulate root gravitropism	AT2G28350;AT4G30080;AT1G77850		1.0
miR164	Flight_x_HW_VEGGIE_vs_BRIC	factorial	4	4	0	0	0	0.0	1.0	0.15173721445857302	0.157541347822219	UNCHANGED	NAC1/CUC1/CUC2	Lateral root development, organ boundary formation	Lateral root development is altered in microgravity; NAC1 mediates auxin signaling in roots	AT1G56010;AT5G61430;AT5G07680;AT3G15170		1.0
