sample_name	osd_id	hardware	cfd_hardware	flight_final	gravity_key	organ_final	cfd_scale	gravity_g	g_bl_mol_m2_s	delta_mm	sherwood	dC_CO2_mean_bl	o2_excess_ppm_bl	u_max	Ra_H2O	dC_H2O_mean	dC_H2O_peak	dC_CO2_mean	dC_CO2_peak	dC_O2_mean	dC_O2_peak	surf_dC_H2O_hw	surf_dC_CO2_hw	dishmean_CO2_hw	carbon_12h_pct_earth	A_start_umol_m2_s	A_end_umol_m2_s	net_assimilation_pct	co2_drawdown_mean_ppm	co2_drawdown_peak_ppm	o2_buildup_mean_ppm	enclosure_type	co2_depletion_min	co2_stress_hr	o2_hypoxia_days	earth_equiv_fan_cm_s	has_forced_airflow	fan_cm_s
Atha_WS-0_Col-0_Shoot_FLT_Rep3	OSD-7	APEX-TAGES	BRIC	FLT	ug	shoot	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Shoot_FLT_Rep4	OSD-7	APEX-TAGES	BRIC	FLT	ug	shoot	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Shoot_FLT_Rep5	OSD-7	APEX-TAGES	BRIC	FLT	ug	shoot	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_WS-0_Col-0_Shoot_GC_Rep1	OSD-7	APEX-TAGES	BRIC	GC	earth	shoot	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Shoot_GC_Rep2	OSD-7	APEX-TAGES	BRIC	GC	earth	shoot	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Shoot_GC_Rep3	OSD-7	APEX-TAGES	BRIC	GC	earth	shoot	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Shoot_GC_Rep4	OSD-7	APEX-TAGES	BRIC	GC	earth	shoot	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Col-0_Shoot_GC_Rep5	OSD-7	APEX-TAGES	BRIC	GC	earth	shoot	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_WS-0_Whole-Plant_FLT_Rep1	OSD-7	APEX-TAGES	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_WS-0_Whole-Plant_FLT_Rep2	OSD-7	APEX-TAGES	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_WS-0_Whole-Plant_FLT_Rep3	OSD-7	APEX-TAGES	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_WS-0_Whole-Plant_GC_Rep1	OSD-7	APEX-TAGES	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_WS-0_Whole-Plant_GC_Rep2	OSD-7	APEX-TAGES	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_WS-0_Whole-Plant_GC_Rep3	OSD-7	APEX-TAGES	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_UdCC_FLT_BB2	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_FLT_BB3	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_FLT_BB4	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_FLT_BB5	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_FLT_BG2	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_FLT_BG3	OSD-17	BRIC	BRIC	FLT	ug	undifferentiated cell culture	leaf	0.0	0.494	1.35	11.1	-0.326	5.1	0.0	0	0.231	0.263	-0.326	-0.373	0.215	0.245	0.245	0.312	-0.103	1.0	3.82	0.0	97.9	7.8	8.9	5.1	sealed	7.0	9.4	6.5	2.8	0	0.0
Atha_Col-0_UdCC_GC_BB2	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_UdCC_GC_BB3	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_UdCC_GC_BB4	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_UdCC_GC_BB5	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_UdCC_GC_BG2	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_UdCC_GC_BG3	OSD-17	BRIC	BRIC	GC	earth	undifferentiated cell culture	leaf	9.81	1.0	0.67	22.5	-0.161	2.7	0.0461	14000	0.128	0.188	-0.161	-0.246	0.113	0.169	0.128	-0.161	0.0	100.0			98.9	3.8	5.9	2.7	sealed				2.8	0	0.0
Atha_Col-0_sl_FLT_BA1	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_FLT_BA2	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_FLT_BA3	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_FLT_BA4	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_FLT_BA5	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_FLT_BG1	OSD-17	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl_GC_BA1	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl_GC_BA2	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl_GC_BA3	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl_GC_BA4	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl_GC_BA5	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl_GC_BG1	OSD-17	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep1_R1-FL-A1	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep2_R1-FL-A4	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep3_R1-FL-B1	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep4_R1-FL-B4	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep5_R2-FL-A1	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep6_R2-FL-A4	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep7_R2-FL-B1	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_FLT_Rep8_R2-FL-B4	OSD-37	BRIC	BRIC	FLT	ug	whole_seedling	rosette	0.0	0.291	2.29	8.8	-0.554	8.6	0.0	0	0.384	0.698	-0.554	-1.033	0.36	0.659	0.471	0.577	-0.256	1.0	3.82	0.0	96.5	13.2	24.7	8.6	sealed	7.0	9.4	6.5	11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep1_R1-GC-A1	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep2_R1-GC-A4	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep3_R1-GC-B1	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep4_R1-GC-B4	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep5_R2-GC-A1	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep6_R2-GC-A4	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
Atha_Col-0_sl-pool_GC_Rep7_R2-GC-B1	OSD-37	BRIC	BRIC	GC	earth	whole_seedling	rosette	9.81	0.54	1.23	16.4	-0.298	4.8	0.0458	62000	0.225	0.509	-0.298	-0.715	0.202	0.469	0.225	-0.298	0.0	100.0				7.1	17.1	4.8	sealed				11.0	0	0.0
